Name, Thickness(nm), Er, Z
IMD_4bEQ,19550.000000,3.373496,1.000000
IMD_4c,500.000000,5.000000,2.000000
IMD_4d,300.000000,4.200000,3.000000
IMD_5a,950.000000,2.900000,4.000000
IMD_5b,2200.000000,2.900000,5.000000
IMD_5c,500.000000,5.000000,6.000000
IMD_5d,300.000000,4.200000,7.000000
IMD_6a,950.000000,2.900000,8.000000
IMD_6b,2200.000000,2.900000,9.000000
IMD_6c,500.000000,5.000000,10.000000
IMD_6d,300.000000,4.200000,11.000000
IMD_7a,950.000000,2.900000,12.000000
IMD_7b,2200.000000,2.900000,13.000000
IMD_7c,500.000000,5.000000,14.000000
IMD_8aEQ,73850.000000,4.488231,15.000000
