Name, Thickness(nm), Er, Z
IMD_1aEQ,640.000000,4.066093,1.000000
IMD_1b,130.000000,2.900000,2.000000
IMD_1c,50.000000,5.000000,3.000000
IMD_1d,30.000000,4.200000,4.000000
IMD_2a,95.000000,2.900000,5.000000
IMD_2b,220.000000,2.900000,6.000000
IMD_2c,50.000000,5.000000,7.000000
IMD_2d,30.000000,4.200000,8.000000
IMD_3a,95.000000,2.900000,9.000000
IMD_3b,220.000000,2.900000,10.000000
IMD_3c,50.000000,5.000000,11.000000
IMD_3d,30.000000,4.200000,12.000000
IMD_4a,95.000000,29.000000,13.000000
IMD_4b,220.000000,2.900000,14.000000
IMD_4c,50.000000,5.000000,15.000000
IMD_4d,30.000000,4.200000,16.000000
IMD_5a,95.000000,2.900000,17.000000
IMD_5b,220.000000,2.290000,18.000000
IMD_5c,50.000000,5.000000,19.000000
IMD_5d,30.000000,4.200000,20.000000
IMD_6a,95.000000,2.900000,21.000000
IMD_6b,220.000000,2.900000,22.000000
IMD_6c,50.000000,5.000000,23.000000
IMD_6d,30.000000,4.200000,24.000000
IMD_7a,95.000000,2.900000,25.000000
IMD_7b,220.000000,2.900000,26.000000
IMD_7c,50.000000,5.000000,27.000000
IMD_8a,200.000000,4.200000,28.000000
IMD_8b,18.000000,4.200000,29.000000
IMD_8c,80.000000,4.200000,30.000000
IMD_8d,322.000000,4.200000,31.000000
IMD_8e,50.000000,8.100000,32.000000
IMD_8f,775.000000,4.200000,33.000000
IMD_8g,50.000000,5.000000,34.000000
IMD_9a,620.000000,4.200000,35.000000
IMD_9bEQ,5125.000000,4.733659,36.000000
