Name, Thickness(nm), Er, Z
IMD_2bEQ,1165.000000,3.551933,1.000000
IMD_2c,50.000000,5.000000,2.000000
IMD_2d,30.000000,4.200000,3.000000
IMD_3a,95.000000,2.900000,4.000000
IMD_3b,220.000000,2.900000,5.000000
IMD_3c,50.000000,5.000000,6.000000
IMD_3d,30.000000,4.200000,7.000000
IMD_4a,95.000000,29.000000,8.000000
IMD_4b,220.000000,2.900000,9.000000
IMD_4c,50.000000,5.000000,10.000000
IMD_4d,30.000000,4.200000,11.000000
IMD_5a,95.000000,2.900000,12.000000
IMD_5b,220.000000,2.290000,13.000000
IMD_5c,50.000000,5.000000,14.000000
IMD_5d,30.000000,4.200000,15.000000
IMD_6a,95.000000,2.900000,16.000000
IMD_6b,220.000000,2.900000,17.000000
IMD_6c,50.000000,5.000000,18.000000
IMD_6d,30.000000,4.200000,19.000000
IMD_7a,95.000000,2.900000,20.000000
IMD_7b,220.000000,2.900000,21.000000
IMD_7c,50.000000,5.000000,22.000000
IMD_8a,200.000000,4.200000,23.000000
IMD_8b,18.000000,4.200000,24.000000
IMD_8c,80.000000,4.200000,25.000000
IMD_8d,322.000000,4.200000,26.000000
IMD_8e,50.000000,8.100000,27.000000
IMD_8f,775.000000,4.200000,28.000000
IMD_8g,50.000000,5.000000,29.000000
IMD_9a,620.000000,4.200000,30.000000
IMD_9b,50.000000,8.100000,31.000000
IMD_9c,3275.000000,4.200000,32.000000
PASS1,75.000000,8.100000,33.000000
PASS2,400.000000,8.100000,34.000000
PASS3,75.000000,8.100000,35.000000
PASS4,250.000000,4.200000,36.000000
PASS5EQ,1000.000000,5.906250,37.000000
