Name, Thickness(nm), Er, Z
IMD_5bEQ,2350.000000,3.376407,1.000000
IMD_5c,50.000000,5.000000,2.000000
IMD_5d,30.000000,4.200000,3.000000
IMD_6a,95.000000,2.900000,4.000000
IMD_6b,220.000000,2.900000,5.000000
IMD_6c,50.000000,5.000000,6.000000
IMD_6d,30.000000,4.200000,7.000000
IMD_7a,95.000000,2.900000,8.000000
IMD_7b,220.000000,2.900000,9.000000
IMD_7c,50.000000,5.000000,10.000000
IMD_8a,200.000000,4.200000,11.000000
IMD_8b,18.000000,4.200000,12.000000
IMD_8c,80.000000,4.200000,13.000000
IMD_8d,322.000000,4.200000,14.000000
IMD_8e,50.000000,8.100000,15.000000
IMD_8f,775.000000,4.200000,16.000000
IMD_8g,50.000000,5.000000,17.000000
IMD_9a,620.000000,4.200000,18.000000
IMD_9bEQ,5125.000000,4.733659,19.000000
